[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:09.985]0 |  906 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.085]0 |  906 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.183]0 |  906 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.283]0 |  905 | 1 |   -1    0 | 1 |  27  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.383]0 |  905 | 1 |    0    0 | 1 |  28  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.485]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.583]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :52 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.683]0 |  906 | 1 |    1    0 | 1 |  27  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.785]0 |  905 | 1 |   -1    0 | 1 |  27  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.883]0 |  905 | 1 |    0    0 | 1 |  29  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:10.986]0 |  905 | 1 |    0    0 | 1 |  34  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.086]0 |  905 | 1 |    0    0 | 1 |  30  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:11.183]0 |  905 | 1 |    0    0 | 1 |  31  0 | 0  0 | 10 : 9 :53 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
