[10:00:00.770]0 | 1036 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.870]0 | 1035 | 1 |   -1    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:00.970]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.070]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.170]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.270]0 | 1035 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.370]0 | 1035 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.390]0 | 1035 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.470]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.570]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.670]0 | 1035 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.770]0 | 1034 | 1 |   -1    0 | 0 |  27  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.870]0 | 1034 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
[10:00:01.970]0 | 1034 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 : 2 :43 | 2  0  2 #  835 #255 255 255 |255 255 255 # 0  0   11   10 
