[09:47:03.580]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :37 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:03.680]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:03.779]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:03.890]0 |  797 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:03.980]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.080]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.180]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.279]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.379]0 |  798 | 1 |    1    0 | 1 |  29  0 | 0  0 |  9 :46 :38 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.479]0 |  798 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.581]0 |  798 | 1 |    0    0 | 1 |  27  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.679]0 |  798 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.780]0 |  797 | 1 |   -1    0 | 1 |  30  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.879]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:04.979]0 |  797 | 1 |    0    0 | 1 |  30  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.080]0 |  797 | 1 |    0    0 | 1 |  29  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
[09:47:05.189]0 |  797 | 1 |    0    0 | 1 |  28  0 | 0  0 |  9 :46 :39 | 3  0  3 #    6 #  9  40   5 |  9  45  17 # 0  0    1    0 
